Logged started on,02/08/2024 17:36:08
Feature,Accelerometer
Nodes,AM1V420 @425DB9

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
02/08/2024 17:37:12.001,63077,AM1V420 @425DB9,8957,7DFF21FC69FF,-131,-991,-151
02/08/2024 17:37:12.030,63094,AM1V420 @425DB9,8963,7BFF21FC68FF,-133,-991,-152
02/08/2024 17:37:12.091,63155,AM1V420 @425DB9,8970,7FFF21FC67FF,-129,-991,-153
02/08/2024 17:37:12.151,63215,AM1V420 @425DB9,8976,7CFF23FC65FF,-132,-989,-155
02/08/2024 17:37:12.180,63244,AM1V420 @425DB9,8982,7CFF22FC62FF,-132,-990,-158
02/08/2024 17:37:12.240,63304,AM1V420 @425DB9,8988,7EFF1FFC60FF,-130,-993,-160
02/08/2024 17:37:12.301,63365,AM1V420 @425DB9,8995,79FF1BFC47FF,-135,-997,-185
02/08/2024 17:37:12.330,63394,AM1V420 @425DB9,9001,7CFF2BFC63FF,-132,-981,-157
02/08/2024 17:37:12.391,63455,AM1V420 @425DB9,9007,70FF2EFC63FF,-144,-978,-157
02/08/2024 17:37:12.451,63515,AM1V420 @425DB9,9013,6DFF2AFC45FF,-147,-982,-187
02/08/2024 17:37:12.482,63545,AM1V420 @425DB9,9020,73FF32FC50FF,-141,-974,-176
02/08/2024 17:37:12.541,63606,AM1V420 @425DB9,9026,70FF2CFC55FF,-144,-980,-171
02/08/2024 17:37:12.602,63666,AM1V420 @425DB9,9032,84FF40FC4AFF,-124,-960,-182
02/08/2024 17:37:12.631,63694,AM1V420 @425DB9,9038,AFFF48FC56FF,-81,-952,-170
02/08/2024 17:37:12.690,63754,AM1V420 @425DB9,9045,ACFFF3FB36FF,-84,-1037,-202
02/08/2024 17:37:12.750,63815,AM1V420 @425DB9,9051,A0FF4AFC34FF,-96,-950,-204
02/08/2024 17:37:12.781,63845,AM1V420 @425DB9,9057,84FFF8FB23FF,-124,-1032,-221
02/08/2024 17:37:12.841,63905,AM1V420 @425DB9,9063,D0FF4EFC29FF,-48,-946,-215
02/08/2024 17:37:12.901,63966,AM1V420 @425DB9,9070,B6FF5BFC24FF,-74,-933,-220
02/08/2024 17:37:12.930,63994,AM1V420 @425DB9,9076,C7FF36FC30FF,-57,-970,-208
02/08/2024 17:37:12.991,64055,AM1V420 @425DB9,9082,AFFF1FFC19FF,-81,-993,-231
02/08/2024 17:37:13.051,64115,AM1V420 @425DB9,9088,A6FF09FC00FF,-90,-1015,-256
02/08/2024 17:37:13.080,64144,AM1V420 @425DB9,9095,A7FF0FFCF2FE,-89,-1009,-270
02/08/2024 17:37:13.141,64205,AM1V420 @425DB9,9101,BBFF57FC44FF,-69,-937,-188
02/08/2024 17:37:13.201,64265,AM1V420 @425DB9,9107,32FFD2FAAEFF,-206,-1326,-82
02/08/2024 17:37:13.230,64294,AM1V420 @425DB9,9113,C1FF7FFBEEFF,-63,-1153,-18
02/08/2024 17:37:13.290,64355,AM1V420 @425DB9,9120,56FFEBFB90FF,-170,-1045,-112
02/08/2024 17:37:13.350,64414,AM1V420 @425DB9,9126,F3FE59FC4800,-269,-935,72
02/08/2024 17:37:13.381,64445,AM1V420 @425DB9,9132,09FF43FCEFFF,-247,-957,-17
02/08/2024 17:37:13.441,64505,AM1V420 @425DB9,9138,59FF65FCEBFF,-167,-923,-21
02/08/2024 17:37:13.501,64565,AM1V420 @425DB9,9145,6CFFB0FC96FF,-148,-848,-106
02/08/2024 17:37:13.530,64594,AM1V420 @425DB9,9151,6AFF5CFCACFF,-150,-932,-84
02/08/2024 17:37:13.591,64655,AM1V420 @425DB9,9157,38FF44FC73FF,-200,-956,-141
02/08/2024 17:37:13.651,64715,AM1V420 @425DB9,9163,25FF51FC89FF,-219,-943,-119
02/08/2024 17:37:13.681,64745,AM1V420 @425DB9,9170,3EFF5FFC7AFF,-194,-929,-134
02/08/2024 17:37:13.741,64805,AM1V420 @425DB9,9176,27FFE4FB59FF,-217,-1052,-167
02/08/2024 17:37:13.802,64866,AM1V420 @425DB9,9182,F1FEC3FB51FF,-271,-1085,-175
02/08/2024 17:37:13.830,64894,AM1V420 @425DB9,9188,7AFFE0FBB6FE,-134,-1056,-330
02/08/2024 17:37:13.891,64955,AM1V420 @425DB9,9195,95FFC1FB2BFE,-107,-1087,-469
02/08/2024 17:37:13.951,65015,AM1V420 @425DB9,9201,F6FF20FC0600,-10,-992,6
02/08/2024 17:37:13.981,65045,AM1V420 @425DB9,9207,1A00F6FB0400,26,-1034,4
02/08/2024 17:37:14.041,65104,AM1V420 @425DB9,9213,96FF35FC0900,-106,-971,9
02/08/2024 17:37:14.101,65165,AM1V420 @425DB9,9220,8AFF88FCAEFF,-118,-888,-82
02/08/2024 17:37:14.130,65194,AM1V420 @425DB9,9226,C8FFA0FCC6FF,-56,-864,-58
02/08/2024 17:37:14.191,65255,AM1V420 @425DB9,9232,D8FFA2FCA3FF,-40,-862,-93
02/08/2024 17:37:14.251,65315,AM1V420 @425DB9,9238,CDFFA0FC90FF,-51,-864,-112
02/08/2024 17:37:14.280,65344,AM1V420 @425DB9,9245,EDFF79FC8CFF,-19,-903,-116
02/08/2024 17:37:14.341,65405,AM1V420 @425DB9,9251,ADFFACFB99FF,-83,-1108,-103
02/08/2024 17:37:14.401,65465,AM1V420 @425DB9,9257,8AFF36FB21FF,-118,-1226,-223
02/08/2024 17:37:14.430,65494,AM1V420 @425DB9,9263,31FF74FAECFF,-207,-1420,-20
02/08/2024 17:37:14.491,65555,AM1V420 @425DB9,9270,4BFF5CFB2C00,-181,-1188,44
